time (s)	f(t)
0	1.25
0.01	1.370034533
0.02	1.478055784
0.03	1.573047272
0.04	1.654157435
0.05	1.720710505
0.06	1.772214784
0.07	1.808368197
0.08	1.829061044
0.09	1.834375911
0.1	1.824584753
0.11	1.800143204
0.12	1.7616822
0.13	1.709997061
0.14	1.646034203
0.15	1.570875695
0.16	1.485721902
0.17	1.391872501
0.18	1.290706148
0.19	1.18365914
0.2	1.072203391
0.21	0.957824074
0.22	0.84199727
0.23	0.72616799
0.24	0.611728884
0.25	0.5
0.26	0.392209871
0.27	0.289478252
0.28	0.192800746
0.29	0.103035569
0.3	0.020892647
0.31	-0.053074795
0.32	-0.118476032
0.33	-0.175085936
0.34	-0.222845343
0.35	-0.2618587
0.36	-0.292389032
0.37	-0.314850326
0.38	-0.329797469
0.39	-0.33791391
0.4	-0.339997254
0.41	-0.33694303
0.42	-0.329726901
0.43	-0.319385624
0.44	-0.306997051
0.45	-0.293659522
0.46	-0.280470981
0.47	-0.268508157
0.48	-0.258806155
0.49	-0.252338793
0.5	-0.25
0.51	-0.252586598
0.52	-0.260782735
0.53	-0.275146233
0.54	-0.296097081
0.55	-0.323908258
0.56	-0.35869905
0.57	-0.400430965
0.58	-0.448906324
0.59	-0.503769567
0.6	-0.564511243
0.61	-0.630474639
0.62	-0.700864953
0.63	-0.774760852
0.64	-0.851128267
0.65	-0.928836173
0.66	-1.006674141
0.67	-1.08337137
0.68	-1.157616895
0.69	-1.228080661
0.7	-1.293435133
0.71	-1.352377079
0.72	-1.403649203
0.73	-1.446061263
0.74	-1.478510352
0.75	-1.5
0.76	-1.509657806
0.77	-1.5067513
0.78	-1.490701784
0.79	-1.461095923
0.8	-1.417694894
0.81	-1.360440938
0.82	-1.2894612
0.83	-1.205068785
0.84	-1.107761001
0.85	-0.99821481
0.86	-0.877279533
0.87	-0.745966922
0.88	-0.60543874
0.89	-0.456992026
0.9	-0.302042267
0.91	-0.142104731
0.92	0.021225771
0.93	0.186296371
0.94	0.351418572
0.95	0.514891264
0.96	0.675023987
0.97	0.83016009
0.98	0.978699429
0.99	1.119120261
1	1.25
1.01	1.370034533
1.02	1.478055784
1.03	1.573047272
1.04	1.654157435
1.05	1.720710505
1.06	1.772214784
1.07	1.808368197
1.08	1.829061044
1.09	1.834375911
1.1	1.824584753
1.11	1.800143204
1.12	1.7616822
1.13	1.709997061
1.14	1.646034203
1.15	1.570875695
1.16	1.485721902
1.17	1.391872501
1.18	1.290706148
1.19	1.18365914
1.2	1.072203391
1.21	0.957824074
1.22	0.84199727
1.23	0.72616799
1.24	0.611728884
1.25	0.5
1.26	0.392209871
1.27	0.289478252
1.28	0.192800746
1.29	0.103035569
1.3	0.020892647
1.31	-0.053074795
1.32	-0.118476032
1.33	-0.175085936
1.34	-0.222845343
1.35	-0.2618587
1.36	-0.292389032
1.37	-0.314850326
1.38	-0.329797469
1.39	-0.33791391
1.4	-0.339997254
1.41	-0.33694303
1.42	-0.329726901
1.43	-0.319385624
1.44	-0.306997051
1.45	-0.293659522
1.46	-0.280470981
1.47	-0.268508157
1.48	-0.258806155
1.49	-0.252338793
1.5	-0.25
1.51	-0.252586598
1.52	-0.260782735
1.53	-0.275146233
1.54	-0.296097081
1.55	-0.323908258
1.56	-0.35869905
1.57	-0.400430965
1.58	-0.448906324
1.59	-0.503769567
1.6	-0.564511243
1.61	-0.630474639
1.62	-0.700864953
1.63	-0.774760852
1.64	-0.851128267
1.65	-0.928836173
1.66	-1.006674141
